"conc","rate","state","enzyme"
0.02,76,"treated","puromycin"
0.02,47,"treated","puromycin"
0.06,97,"treated","puromycin"
0.06,107,"treated","puromycin"
0.11,123,"treated","puromycin"
0.11,139,"treated","puromycin"
0.22,159,"treated","puromycin"
0.22,152,"treated","puromycin"
0.56,191,"treated","puromycin"
0.56,201,"treated","puromycin"
1.1,207,"treated","puromycin"
1.1,200,"treated","puromycin"
0.02,67,"untreated","puromycin"
0.02,51,"untreated","puromycin"
0.06,84,"untreated","puromycin"
0.06,86,"untreated","puromycin"
0.11,98,"untreated","puromycin"
0.11,115,"untreated","puromycin"
0.22,131,"untreated","puromycin"
0.22,124,"untreated","puromycin"
0.56,144,"untreated","puromycin"
0.56,158,"untreated","puromycin"
1.1,160,"untreated","puromycin"
